source target sign
HSA-MIR-124-3P PLSCR3 -
HSA-MIR-124-3P GNPDA1 -
HSA-MIR-124-3P PLEKHF2 -
HSA-MIR-124-3P SEC24D +
HSA-MIR-124-3P TRIM65 +
HSA-MIR-124-3P MVK +
HSA-MIR-124-3P EGR1 +
HSA-MIR-124-3P SNAI2 -
HSA-MIR-124-3P GXYLT1 +
HSA-MIR-124-3P IQGAP1 +
HSA-MIR-124-3P RAB38 -
HSA-MIR-124-3P PECR +
HSA-MIR-124-3P NEK6 -
HSA-MIR-124-3P DNAJC25 +
HSA-MIR-124-3P RFT1 +
HSA-MIR-124-3P C12ORF40 -
HSA-MIR-124-3P ZFYVE26 +
HSA-MIR-124-3P IPCEF1 -
HSA-MIR-124-3P POLR2J +
HSA-MIR-124-3P LRRC15 +
HSA-MIR-124-3P EOGT +
HSA-MIR-124-3P LRP10 -
HSA-MIR-124-3P CRTC3 -
HSA-MIR-124-3P SDCCAG8 -
HSA-MIR-124-3P SNAP23 -
HSA-MIR-124-3P CLIC3 +
HSA-MIR-124-3P KLF6 -
HSA-MIR-124-3P CLMP -
HSA-MIR-124-3P NAA15 -
HSA-MIR-124-3P EPB41L5 -
HSA-MIR-124-3P PDAP1 -
HSA-MIR-124-3P TPST1 -
HSA-MIR-124-3P PGM2 +
HSA-MIR-124-3P GNAI2 +
HSA-MIR-124-3P FAM171B +
HSA-MIR-124-3P FHDC1 -
HSA-MIR-124-3P HSD17B10 +
HSA-MIR-124-3P LAMC1 +
HSA-MIR-124-3P ABHD5 -
HSA-MIR-124-3P CNKSR3 +
HSA-MIR-124-3P ELF4 +
HSA-MIR-124-3P TIMM13 +
HSA-MIR-124-3P DCAF16 +
HSA-MIR-124-3P SERPINE1 +
HSA-MIR-124-3P CTDSP1 -
HSA-MIR-124-3P ABCG8 -
HSA-MIR-124-3P PODXL +
HSA-MIR-124-3P KRI1 -
HSA-MIR-124-3P ECE2 -
HSA-MIR-124-3P F13B +
HSA-MIR-124-3P IFIT2 -
HSA-MIR-124-3P PRB2 +
HSA-MIR-124-3P RASIP1 -
HSA-MIR-124-3P HSPB7 -
HSA-MIR-124-3P TPM1 +
HSA-MIR-124-3P CBR3 -
HSA-MIR-124-3P NR3C1 -
HSA-MIR-124-3P PTP4A1 +
HSA-MIR-124-3P PGM1 +
HSA-MIR-124-3P ANXA11 -
HSA-MIR-124-3P ANKS6 +
HSA-MIR-124-3P PCSK9 -
HSA-MIR-124-3P ZNF655 +
HSA-MIR-124-3P SPHK1 -
HSA-MIR-124-3P PPP1R3B -
HSA-MIR-124-3P TNFRSF25 +
HSA-MIR-124-3P CTDSPL -
HSA-MIR-124-3P CABP1 -
HSA-MIR-124-3P IGFBP4 +
HSA-MIR-124-3P NUPR1 +
HSA-MIR-124-3P RPS6KA4 -
HSA-MIR-124-3P MYO19 +
HSA-MIR-124-3P PDE3B -
HSA-MIR-124-3P CPNE8 -
HSA-MIR-124-3P CMTM7 +
HSA-MIR-124-3P RPL23 -
HSA-MIR-124-3P NASP -
HSA-MIR-124-3P NONO +
HSA-MIR-124-3P C9ORF85 +
HSA-MIR-124-3P DNM2 +
HSA-MIR-124-3P TOR3A +
HSA-MIR-124-3P HMGA1 +
HSA-MIR-124-3P EDN1 -
HSA-MIR-124-3P PICALM -
HSA-MIR-124-3P FAM109B +
HSA-MIR-124-3P PORCN -
HSA-MIR-124-3P KRT17P2 +
HSA-MIR-124-3P POGLUT1 -
HSA-MIR-124-3P SLC15A4 -
HSA-MIR-124-3P CMTM3 -
HSA-MIR-124-3P BCL6B -
HSA-MIR-124-3P L3HYPDH -
HSA-MIR-124-3P SLC44A1 +
HSA-MIR-124-3P CD86 -
HSA-MIR-124-3P CREB3L2 +
HSA-MIR-124-3P USP48 -
HSA-MIR-124-3P KANSL2 -
HSA-MIR-124-3P GRM1 -
HSA-MIR-124-3P CDCA7 -
HSA-MIR-124-3P MTMR6 +
HSA-MIR-124-3P STX10 -
HSA-MIR-124-3P CPNE3 -
HSA-MIR-124-3P SMARCA2 -
HSA-MIR-124-3P SLC25A16 -
HSA-MIR-124-3P RCC1 +
HSA-MIR-124-3P MOBP -
HSA-MIR-124-3P F3 +
HSA-MIR-124-3P ADPRH +
HSA-MIR-124-3P TOPBP1 -
HSA-MIR-124-3P LAS1L +
HSA-MIR-124-3P DHRS1 -
HSA-MIR-124-3P CDC27 -
HSA-MIR-124-3P GINM1 +
HSA-MIR-124-3P LSMEM2 +
HSA-MIR-124-3P ZNF548 -
HSA-MIR-124-3P ANXA6 +
HSA-MIR-124-3P ADCY3 -
HSA-MIR-124-3P KDSR -
HSA-MIR-124-3P CCDC11 -
HSA-MIR-124-3P LCLAT1 +
HSA-MIR-124-3P ITGB1 -
HSA-MIR-124-3P CABP7 +
HSA-MIR-124-3P DENND2D -
HSA-MIR-124-3P MLLT3 +
HSA-MIR-124-3P RNF144B -
HSA-MIR-124-3P FAM35A -
HSA-MIR-124-3P CYBRD1 +
HSA-MIR-124-3P SCAMP2 +
HSA-MIR-124-3P CCDC102B +
HSA-MIR-124-3P SEC22C +
HSA-MIR-124-3P LYSMD3 -
HSA-MIR-124-3P PTPN9 +
HSA-MIR-124-3P RASSF2 -
HSA-MIR-124-3P GLIPR2 +
HSA-MIR-124-3P C1ORF85 -
HSA-MIR-124-3P GREM1 +
HSA-MIR-124-3P CYP2U1 -
HSA-MIR-124-3P IL6 -
HSA-MIR-124-3P MCM7 +
HSA-MIR-124-3P TMED1 -
HSA-MIR-124-3P ADD3 -
HSA-MIR-124-3P FAM120A +
HSA-MIR-124-3P CCBL2 -
HSA-MIR-124-3P RANBP10 +
HSA-MIR-124-3P SQRDL +
HSA-MIR-124-3P RBPJ +
HSA-MIR-124-3P CCDC3 -
HSA-MIR-124-3P UNC79 +
HSA-MIR-124-3P PIWIL4 -
HSA-MIR-124-3P SNX18 -
HSA-MIR-124-3P PTK7 +
HSA-MIR-124-3P GNG10 -
HSA-MIR-124-3P CCDC68 +
HSA-MIR-124-3P GNA12 +
HSA-MIR-124-3P HADH -
HSA-MIR-124-3P PLXNA2 -
HSA-MIR-124-3P PTTG1IP +
HSA-MIR-124-3P RFFL -
HSA-MIR-124-3P TRIM7 -
HSA-MIR-124-3P HKDC1 +
HSA-MIR-124-3P GNB2L1 +
HSA-MIR-124-3P CPA6 -
HSA-MIR-124-3P GSTK1 +
HSA-MIR-124-3P GMCL1 -
HSA-MIR-124-3P FRMD8 +
HSA-MIR-124-3P ALDH3B2 +
HSA-MIR-124-3P PLOD3 -
HSA-MIR-124-3P TNFRSF21 +
HSA-MIR-124-3P GIT2 -
HSA-MIR-124-3P PGGT1B -
HSA-MIR-124-3P EYS -
HSA-MIR-124-3P ZNF549 +
HSA-MIR-124-3P NSUN2 +
HSA-MIR-124-3P NFIC +
HSA-MIR-124-3P UNC5B +
HSA-MIR-124-3P TTC8 -
HSA-MIR-124-3P PTPN12 -
HSA-MIR-124-3P CDO1 +
HSA-MIR-124-3P CAMP -
HSA-MIR-124-3P KIAA1199 +
HSA-MIR-124-3P SHMT2 -
HSA-MIR-124-3P POLA1 -
HSA-MIR-124-3P C6ORF89 +
HSA-MIR-124-3P CAV1 +
HSA-MIR-124-3P ENDOD1 -
HSA-MIR-124-3P SERPINB6 +
HSA-MIR-124-3P NKAP -
HSA-MIR-124-3P MAGT1 -
HSA-MIR-124-3P POFUT1 -
HSA-MIR-124-3P CA12 +
HSA-MIR-124-3P CYP1B1 -
HSA-MIR-124-3P KLHL24 -
HSA-MIR-124-3P PARP16 -
HSA-MIR-124-3P TBXA2R -
HSA-MIR-124-3P KIF16B +
HSA-MIR-124-3P TMEM128 +
HSA-MIR-124-3P SLC50A1 -
HSA-MIR-124-3P QSOX1 -
HSA-MIR-124-3P ADAM15 -
HSA-MIR-124-3P NFIX -
HSA-MIR-124-3P DENND6A -
HSA-MIR-124-3P DHX33 +
HSA-MIR-124-3P FAM122B +
HSA-MIR-124-3P TRIM38 +
HSA-MIR-124-3P AP1M2 -
HSA-MIR-124-3P RXFP1 +
HSA-MIR-124-3P SLC26A2 +
HSA-MIR-124-3P NUB1 +
HSA-MIR-124-3P RELA +
HSA-MIR-124-3P IQCK +
HSA-MIR-124-3P MFAP5 -
HSA-MIR-124-3P PRKCDBP +
HSA-MIR-124-3P GAS2L1 +
HSA-MIR-124-3P STX2 -
HSA-MIR-124-3P SMPD4 -
HSA-MIR-124-3P PCNA +
HSA-MIR-124-3P DRG2 +
HSA-MIR-124-3P COL6A2 -
HSA-MIR-124-3P CCDC41 +
HSA-MIR-124-3P SLC39A3 -
HSA-MIR-124-3P KIF1B -
HSA-MIR-124-3P FBXL18 +
HSA-MIR-124-3P SULT1B1 +
HSA-MIR-124-3P VPS4B -
HSA-MIR-124-3P PLSCR4 -
HSA-MIR-124-3P WASF2 -
HSA-MIR-124-3P PPAP2B -
HSA-MIR-124-3P GNB4 -
HSA-MIR-124-3P CLN5 +
HSA-MIR-124-3P CDV3 +
HSA-MIR-124-3P CACUL1 -
HSA-MIR-124-3P IRAK3 -
HSA-MIR-124-3P SNRPB -
HSA-MIR-124-3P RCC2 -
HSA-MIR-124-3P INO80C -
HSA-MIR-124-3P ATXN2L -
HSA-MIR-124-3P VIM +
HSA-MIR-124-3P LRRC8C -
HSA-MIR-124-3P RPIA +
HSA-MIR-124-3P RPP25L -
HSA-MIR-124-3P POLR3G -
HSA-MIR-124-3P ARPC1B -
HSA-MIR-124-3P CDRT4 +
HSA-MIR-124-3P IGFBP7 -
HSA-MIR-124-3P ARHGAP28 +
HSA-MIR-124-3P SNX12 -
HSA-MIR-124-3P MFSD1 +
HSA-MIR-124-3P CALCRL -
HSA-MIR-124-3P HMOX1 +
HSA-MIR-124-3P TNS4 -
HSA-MIR-124-3P B3GNT2 +
HSA-MIR-124-3P KIF2C -
HSA-MIR-124-3P PDPR -
HSA-MIR-124-3P SLC2A4RG +
HSA-MIR-124-3P ATP6V0E1 +
HSA-MIR-124-3P PTGES +
HSA-MIR-124-3P TMEM41A -
HSA-MIR-124-3P NFATC1 -
HSA-MIR-124-3P FMOD -
HSA-MIR-124-3P ANXA8L2 +
HSA-MIR-124-3P MALSU1 -
HSA-MIR-124-3P SLC38A2 -
HSA-MIR-124-3P QKI -
HSA-MIR-124-3P SERTAD4 +
HSA-MIR-124-3P DHRS3 +
HSA-MIR-124-3P TFEB +
HSA-MIR-124-3P PRPS1 +
HSA-MIR-124-3P FAR1 -
HSA-MIR-124-3P HADHB -
HSA-MIR-124-3P AAMDC -
HSA-MIR-124-3P SLC16A6 +
HSA-MIR-124-3P C4BPB -
HSA-MIR-124-3P RAVER2 +
HSA-MIR-124-3P GDA -
HSA-MIR-124-3P NFIA +
HSA-MIR-124-3P TSC22D4 -
HSA-MIR-124-3P ANXA8 +
HSA-MIR-124-3P EFHD2 +
HSA-MIR-124-3P VAMP3 +
HSA-MIR-124-3P FAM57A -
HSA-MIR-124-3P ZNF410 +
HSA-MIR-124-3P HOXA3 -
HSA-MIR-124-3P MFSD10 +
HSA-MIR-124-3P TMEM5 +
HSA-MIR-124-3P INF2 +
HSA-MIR-124-3P S1PR5 -
HSA-MIR-124-3P GFPT2 +
HSA-MIR-124-3P CCDC71 +
HSA-MIR-124-3P EML1 +
HSA-MIR-124-3P FAM35BP -
HSA-MIR-124-3P STAT5A -
HSA-MIR-124-3P PPP1R13L +
HSA-MIR-124-3P ZMPSTE24 +
HSA-MIR-124-3P SBNO2 +
HSA-MIR-124-3P ANAPC7 +
HSA-MIR-124-3P FARP1 +
HSA-MIR-124-3P MAPK11 -
HSA-MIR-124-3P RPRD1B +
HSA-MIR-124-3P TWSG1 +
HSA-MIR-124-3P CCT5 -
HSA-MIR-124-3P CDCP1 +
HSA-MIR-124-3P IGFBP1 +
HSA-MIR-124-3P TMEM79 -
HSA-MIR-124-3P CPSF4 -
HSA-MIR-124-3P DCTN3 -
HSA-MIR-124-3P GTF3C6 -
HSA-MIR-124-3P CPOX +
HSA-MIR-124-3P IL11 -
HSA-MIR-124-3P PACSIN3 -
HSA-MIR-124-3P BMPR1A -
HSA-MIR-124-3P TJP2 -
HSA-MIR-124-3P ARHGEF1 -
HSA-MIR-124-3P PARP9 -
HSA-MIR-124-3P FKBP14 +
HSA-MIR-124-3P MAP3K3 +
HSA-MIR-124-3P LIN7A -
HSA-MIR-124-3P KLF4 +
HSA-MIR-124-3P FOXF2 -
HSA-MIR-124-3P SURF4 -
HSA-MIR-124-3P TNPO1 -
HSA-MIR-124-3P MEPE +
HSA-MIR-124-3P SRBD1 +
HSA-MIR-124-3P RRP15 +
HSA-MIR-124-3P DCC +
HSA-MIR-124-3P SNX17 +
HSA-MIR-124-3P LAMA4 -
HSA-MIR-124-3P YKT6 -
HSA-MIR-124-3P SLC35F3 +
HSA-MIR-124-3P TRIB3 +
HSA-MIR-124-3P GAB3 +
HSA-MIR-124-3P SP3 -
HSA-MIR-124-3P OCA2 +
HSA-MIR-124-3P ALDOB +
HSA-MIR-124-3P MXD4 +
HSA-MIR-124-3P TMEM54 +
HSA-MIR-124-3P FRMD3 +
HSA-MIR-124-3P RECK +
HSA-MIR-124-3P WIPF1 -
HSA-MIR-124-3P CALU -
HSA-MIR-124-3P ANAPC5 -
HSA-MIR-124-3P ARAF +
HSA-MIR-124-3P CUX2 -
HSA-MIR-124-3P MAPKAPK2 -
HSA-MIR-124-3P TPP1 -
HSA-MIR-124-3P AK2 -
HSA-MIR-124-3P AFAP1L1 +
HSA-MIR-124-3P SLC7A1 -
HSA-MIR-124-3P TRPC6 -
HSA-MIR-124-3P RYR3 -
HSA-MIR-124-3P SAMSN1 -
HSA-MIR-124-3P IL27RA +
HSA-MIR-124-3P FAM83D -
HSA-MIR-124-3P JAG2 -
HSA-MIR-124-3P NFIB -
HSA-MIR-124-3P TFAP4 -
HSA-MIR-124-3P ASCC3 -
HSA-MIR-124-3P EIF3M +
HSA-MIR-124-3P CEBPA -
HSA-MIR-124-3P LCA5L -
HSA-MIR-124-3P ZNF420 -
HSA-MIR-124-3P AGTR1 +
HSA-MIR-124-3P CD2AP +
HSA-MIR-124-3P TMEFF2 +
HSA-MIR-124-3P STK38 -
HSA-MIR-124-3P CALR +
HSA-MIR-124-3P LPP +
HSA-MIR-124-3P ITSN2 +
HSA-MIR-124-3P SLC9A9 +
HSA-MIR-124-3P TRPV3 +
HSA-MIR-124-3P BIRC2 -
HSA-MIR-124-3P SLC44A2 -
HSA-MIR-124-3P EMD +
HSA-MIR-124-3P FGFR1 +
HSA-MIR-124-3P TMEM121 +
HSA-MIR-124-3P TBX2 -
HSA-MIR-124-3P CCT3 +
HSA-MIR-124-3P SEPT9 -
HSA-MIR-124-3P CDKN2AIP +
HSA-MIR-124-3P PPAN -
HSA-MIR-124-3P SERTAD2 +
HSA-MIR-124-3P CORO2A +
HSA-MIR-124-3P AKT2 +
HSA-MIR-124-3P CDK6 -
HSA-MIR-124-3P NGDN -
HSA-MIR-124-3P PTPRJ +
HSA-MIR-124-3P KCNS3 -
HSA-MIR-124-3P LRRC1 +
HSA-MIR-124-3P SLC31A2 -
HSA-MIR-124-3P LMAN2L +
HSA-MIR-124-3P S100A2 -
HSA-MIR-124-3P MDK +
HSA-MIR-124-3P CSRP1 -
HSA-MIR-124-3P RBMS1 -
HSA-MIR-124-3P UBE2R2 -
HSA-MIR-124-3P CBX2 -
HSA-MIR-124-3P S100G +
HSA-MIR-124-3P FAM129A +
HSA-MIR-124-3P TTLL3 +
HSA-MIR-124-3P ANXA5 +
HSA-MIR-124-3P MCAM -
HSA-MIR-124-3P KIAA1967 -
HSA-MIR-124-3P DNAJC1 +
HSA-MIR-124-3P HFM1 +
HSA-MIR-124-3P EYA4 +
HSA-MIR-124-3P AURKA +
HSA-MIR-124-3P CCDC28A +
HSA-MIR-124-3P FNDC4 +
HSA-MIR-124-3P RAPGEF3 -
HSA-MIR-124-3P COL12A1 +
HSA-MIR-124-3P ANKRD36B +
HSA-MIR-124-3P SLC43A3 +
HSA-MIR-124-3P ATAD3A -
HSA-MIR-124-3P TOMM34 +
HSA-MIR-124-3P ETNPPL -
HSA-MIR-124-3P KRT33A +
HSA-MIR-124-3P DIEXF -
HSA-MIR-124-3P TSKU +
HSA-MIR-124-3P IKBIP +
HSA-MIR-124-3P STX18 +
HSA-MIR-124-3P CAPNS1 -
HSA-MIR-124-3P GRSF1 -
HSA-MIR-124-3P ATOH8 +
HSA-MIR-124-3P HTRA3 +
HSA-MIR-124-3P TRIM25 +
HSA-MIR-124-3P RHBDL2 -
HSA-MIR-124-3P FOXRED2 +
HSA-MIR-124-3P FAM199X -
HSA-MIR-124-3P TPST2 +
HSA-MIR-124-3P PHC2 -
HSA-MIR-124-3P PRDM13 +
HSA-MIR-124-3P ERCC5 +
HSA-MIR-124-3P IFI44L -
HSA-MIR-124-3P TRIP11 -
HSA-MIR-124-3P RCAN1 +
HSA-MIR-124-3P MBD3 -
HSA-MIR-124-3P CTAGE5 +
HSA-MIR-124-3P DRD4 +
HSA-MIR-124-3P CSTF3 +
HSA-MIR-124-3P BLOC1S6 -
HSA-MIR-124-3P ZNF740 +
HSA-MIR-124-3P ZFP36L2 +
HSA-MIR-124-3P LYVE1 +
HSA-MIR-124-3P DEFB118 -
HSA-MIR-124-3P CTDSP2 +
HSA-MIR-124-3P NNMT -
HSA-MIR-124-3P MRPS12 -
HSA-MIR-124-3P ELOVL1 -
HSA-MIR-124-3P NTMT1 +
HSA-MIR-124-3P FAM89A -
HSA-MIR-124-3P SGSM3 +
HSA-MIR-124-3P COL4A1 +
HSA-MIR-124-3P CA5B +
HSA-MIR-124-3P HAUS6 -
HSA-MIR-124-3P FHL2 -
HSA-MIR-124-3P SMCO4 -
HSA-MIR-124-3P C9ORF41 +
HSA-MIR-124-3P GPC1 +
HSA-MIR-124-3P MLEC +
HSA-MIR-124-3P SPTY2D1 -
HSA-MIR-124-3P BCAP29 +
HSA-MIR-124-3P C3ORF58 -
HSA-MIR-124-3P BRWD1 +
HSA-MIR-124-3P RAB34 +
HSA-MIR-124-3P NLRX1 +
HSA-MIR-124-3P ABCC3 +
HSA-MIR-124-3P ID1 -
HSA-MIR-124-3P TREX2 +
HSA-MIR-124-3P SLC22A3 -
HSA-MIR-124-3P HSD17B6 +
HSA-MIR-124-3P ELF3 +
HSA-MIR-124-3P PTGS2 -
HSA-MIR-124-3P OSBP -
HSA-MIR-124-3P ROBO3 -
HSA-MIR-124-3P GRB2 -
HSA-MIR-124-3P C14ORF178 +
HSA-MIR-124-3P CDCA7L -
HSA-MIR-124-3P KLHL14 +
HSA-MIR-124-3P CDKN2A -
HSA-MIR-124-3P DBT +
HSA-MIR-124-3P GCSAML +
HSA-MIR-124-3P BDKRB1 +
HSA-MIR-124-3P ICAM5 +
HSA-MIR-124-3P CTGF -
HSA-MIR-124-3P SLC16A1 +
HSA-MIR-124-3P SUCLG2 -
HSA-MIR-124-3P SLITRK4 +
HSA-MIR-124-3P CCDC86 +
HSA-MIR-124-3P NRP1 -
HSA-MIR-124-3P SPIN3 -
HSA-MIR-124-3P ECI2 -
HSA-MIR-124-3P BEX1 +
HSA-MIR-124-3P NRF1 -
HSA-MIR-124-3P TMEM161A -
HSA-MIR-124-3P L1CAM +
HSA-MIR-124-3P IL7 +
HSA-MIR-124-3P SNTA1 -
HSA-MIR-124-3P GCH1 -
HSA-MIR-124-3P SWAP70 +
HSA-MIR-124-3P ACP6 -
HSA-MIR-124-3P CEBPE +
HSA-MIR-124-3P DSG2 +
HSA-MIR-124-3P TIMM8B -
HSA-MIR-124-3P NEU4 +
HSA-MIR-124-3P ARMC1 +
HSA-MIR-124-3P MVB12A -
HSA-MIR-124-3P MSN +
HSA-MIR-124-3P USP10 -
HSA-MIR-124-3P CKS2 +
HSA-MIR-124-3P FLI1 +
HSA-MIR-124-3P DAPK1 -
HSA-MIR-124-3P PREB -
HSA-MIR-124-3P ANKS1B -
HSA-MIR-124-3P MBD6 -
HSA-MIR-124-3P AK3 +
HSA-MIR-124-3P SHC3 +
HSA-MIR-124-3P C12ORF23 +
HSA-MIR-124-3P BTG3 +
HSA-MIR-124-3P POLR2B +
HSA-MIR-124-3P CHRDL1 -
HSA-MIR-124-3P SERP1 +
HSA-MIR-124-3P CSPG4 +
HSA-MIR-124-3P BCCIP -
HSA-MIR-124-3P GAS6 -
HSA-MIR-124-3P FLG +
HSA-MIR-124-3P MED20 -
HSA-MIR-124-3P FSTL3 +
HSA-MIR-124-3P ASPN -
HSA-MIR-124-3P SLC13A2 +
HSA-MIR-124-3P PTGS1 -
HSA-MIR-124-3P GMPR2 -
HSA-MIR-124-3P SMAD5 +
HSA-MIR-124-3P TSR2 -
HSA-MIR-124-3P ID2 -
HSA-MIR-124-3P RAB11FIP5 -
HSA-MIR-124-3P SLC29A1 -
HSA-MIR-124-3P CHST6 +
HSA-MIR-124-3P KLF9 +
HSA-MIR-124-3P ZNF483 -
HSA-MIR-124-3P TM9SF3 +
HSA-MIR-124-3P ACOT11 +
HSA-MIR-124-3P COL17A1 -
HSA-MIR-124-3P PGM5 +
HSA-MIR-124-3P MICAL2 +
HSA-MIR-124-3P SPOCD1 -
HSA-MIR-124-3P TP63 -
HSA-MIR-124-3P GATA6 +
HSA-MIR-124-3P WTAP -
HSA-MIR-124-3P DPYD +
HSA-MIR-124-3P NSMAF +
HSA-MIR-124-3P FAM175B -
HSA-MIR-124-3P TUBB2B +
HSA-MIR-124-3P SYNGR2 -
HSA-MIR-124-3P VKORC1 +
HSA-MIR-124-3P FAM134B +
HSA-MIR-124-3P SP1 -
HSA-MIR-124-3P NOC3L -
HSA-MIR-124-3P BCL6 -
HSA-MIR-124-3P ESYT2 -
HSA-MIR-124-3P MSRB3 -
HSA-MIR-124-3P MPHOSPH9 +
HSA-MIR-124-3P CKAP4 -
HSA-MIR-124-3P MMP26 -
HSA-MIR-124-3P TBX22 -
HSA-MIR-124-3P ARMCX2 -
HSA-MIR-124-3P CD2BP2 +
HSA-MIR-124-3P RILPL2 +
HSA-MIR-124-3P KIF26A +
HSA-MIR-124-3P GPR123 -
HSA-MIR-124-3P LARP1 +
HSA-MIR-124-3P RNFT1 -
HSA-MIR-124-3P SLC38A5 -
HSA-MIR-124-3P BICD2 -
HSA-MIR-124-3P RAD51 -
HSA-MIR-124-3P MTHFSD -
HSA-MIR-124-3P CHST14 +
HSA-MIR-124-3P ABT1 +
HSA-MIR-124-3P SLC17A5 -
HSA-MIR-124-3P ALDH18A1 +
HSA-MIR-124-3P ALG2 -
HSA-MIR-124-3P SCAF11 -
HSA-MIR-124-3P NUDT19 +
HSA-MIR-124-3P EIF4EBP1 +
HSA-MIR-124-3P RSAD1 +
HSA-MIR-124-3P DGKA +
HSA-MIR-124-3P NOSIP +
HSA-MIR-124-3P APEX2 +
HSA-MIR-124-3P KRT14 +
HSA-MIR-124-3P ADCY6 -
HSA-MIR-124-3P DSCAML1 -
HSA-MIR-124-3P RIBC2 +
HSA-MIR-124-3P PTPRZ1 -
HSA-MIR-124-3P MSRA +
HSA-MIR-124-3P PTH2R -
HSA-MIR-124-3P DDX19A -
HSA-MIR-124-3P CDH11 -
HSA-MIR-124-3P PLEC +
HSA-MIR-124-3P RUNX2 -
HSA-MIR-124-3P SH2D1B +
HSA-MIR-124-3P TEAD1 +
HSA-MIR-124-3P SLC1A4 +
HSA-MIR-124-3P KIAA0101 -
HSA-MIR-124-3P EIF2S2 -
HSA-MIR-124-3P RBCK1 +
HSA-MIR-124-3P USP38 -
HSA-MIR-124-3P PLEKHM2 -
HSA-MIR-124-3P TPD52L2 -
HSA-MIR-124-3P CDH2 +
HSA-MIR-124-3P TMEM102 +
HSA-MIR-124-3P SSFA2 +
HSA-MIR-124-3P EIF4E +
HSA-MIR-124-3P ZDHHC14 -
HSA-MIR-124-3P DCUN1D5 -
HSA-MIR-124-3P ACADL -
HSA-MIR-124-3P PLEKHB1 -
HSA-MIR-124-3P ZBED3 +
HSA-MIR-124-3P RIN1 -
HSA-MIR-124-3P GDF10 -
HSA-MIR-124-3P SNRPF -
HSA-MIR-124-3P CDK4 +
HSA-MIR-124-3P MST4 -
HSA-MIR-124-3P LAMP2 -
HSA-MIR-124-3P SULT1E1 -
HSA-MIR-124-3P ITGA3 +
HSA-MIR-124-3P FAM83H -
HSA-MIR-124-3P MAP3K7CL +
HSA-MIR-124-3P HIPK3 +
HSA-MIR-124-3P MESDC2 -
HSA-MIR-124-3P ALDH9A1 +
HSA-MIR-124-3P RRAS -
HSA-MIR-124-3P SPATA9 +
HSA-MIR-124-3P PLEKHA4 -
HSA-MIR-124-3P EPGN +
HSA-MIR-124-3P AATF -
HSA-MIR-124-3P B4GALT1 -
HSA-MIR-124-3P LNX2 +
HSA-MIR-124-3P SCN3A +
HSA-MIR-124-3P PLP2 +
