source	target
E2F1	PWP2
TFAP2A	SHMT2
USF2	MYOC
RBPJL	MAML1
PIAS2	CDKN2B
MYC	INSR
CEBPA	CDK2
CREB1	INHBA
JUN	CDK4
USF1	CHGA
E2F1	TSPAN6
NFKB1	hsa-miR-29c
MYC	ZFP36L2
AR	GADD45G
MYB	TERF1
STAT5A	CEL
E2F4	CBS
E2F4	RFC2
TP53	SYK
HIF1A	FAM162A
CREB1	RETN
SMAD4	AR
NOTCH4	DTX3
TP53	E2F4
CEBPB	F8
CREB1	CYP11A1
GLI1	WNT10B
PGR	PIK3R1
ATF6	XBP1
NFKB1	BRCA1
TNF	hsa-miR-17
FOS	PTGS2
SP1	HMBS
CREB3L2	AQP2
PPARA	CPT1A
TFAP2A	ADRA1D
SMAD4	FSHB
HOXB13	AREG
MYC	hsa-miR-221
NFIC	F3
TFAP2A	FBLN1
PPARG	ADIPOQ
EGR1	LTB
EPAS1	TGFB3
MYC	MAN2A1
AR	TGFB2
ATM	CHEK1
E2F1	ZNF268
TFAP2A	GH2
PIAS4	STAT6
CTNNB1	CTNNBIP1
POU2F1	NFIC
AR	GOT1
STAT3	MYC
E2F4	EXOSC9
SPI1	hsa-miR-146a
TCF7	CTBP1
MYC	MCM7
EPAS1	SLC2A1
RARA	CDH13
GLI3	BMP7
MYC	ATP1A2
ZNF274	TRAF6
USF1	IL6
CREB1	MCAM
MCM2	ORC1
RELA	TRAF3
ESR1	MYC
E2F1	GGT5
TFAP2A	PLAUR
SMAD3	VIP
EGR2	HOXA2
NFKB1	VEGFB
SP1	KCNMA1
CREB1	IL5RA
NFIB	hsa-miR-21
POU2F1	GNRH1
E2F4	HPGD
TFAP2A	ALPPL2
ATF1	NTRK3
MYC	UBE2G2
STAT1	HSPB1
JUN	POLA2
E2F1	HAT1
AR	FGF8
ETS1	ICAM4
TP53	PCBP4
GLI1	PRKACG
STAT4	SOCS5
ETS1	CD209
ETS2	MMP3
PPARA	ME1
TP53	NFATC4
PPARA	UCP3
PPARD	HSD11B1
SP1	POLG2
SP1	HTR1A
TFAP2A	HAL
AR	GATA3
EGR1	DUSP4
PPARA	SLC27A4
E2F1	CLASP2
PGR	CGA
E2F1	SLC22A16
TFAP2A	AGA
RARB	KHSRP
E2F5	SMAD4
GLI2	BMP4
NFATC4	PPP3R2
MYC	CRIPT
JUN	HFE
SMAD1	TNFRSF11B
SP1	RBP1
TFAP2A	IGF1R
SP1	SPN
ESR1	GADD45B
ESR1	CYP1A1
USF2	GHRL
STAT1	CIITA
PPARG	ACSL5
STAT1	CXCL11
TFAP2A	IL4
MYC	COL4A2
HOXB13	AR
MYC	ENO1
GLI1	WNT3A
USF2	B4GALT5
RBPJ	CIR1
ETS1	BMP4
JUP	PPARD
TFAP2A	KRT16
E2F1	ALKBH4
TFAP2A	TGFA
ETS1	EIF4G1
E2F1	PRDM1
EP300	hsa-miR-200c
USF1	TGFB2
ESR1	UBE2L3
TP53	TYMS
TFAP2A	NOS1
CTNNB1	EP300
MYC	ZMPSTE24
TFAP2A	PFKFB3
SP3	GABRA4
ESR1	NOL3
TCF7	FOSL1
E2F2	KRT82
IKBKG	TAB1
STAT1	CCND2
MYC	MNX1
CHD8	CTNNB1
NR3C2	ATP1A3
E2F1	KCNG4
ETV4	USF1
GLI1	CSNK1G3
ETS1	TNNC1
CEBPD	ALOX5AP
MYC	ITGB1
TP53	GADD45G
MYC	MTHFR
CEBPB	PRG2
PPARG	AQP7
ARNT2	HIF1A
MYC	hsa-miR-26a
PPARA	DHRS4
RARB	TERT
E2F1	FLJ25715
CEBPB	IL18BP
CTNNB1	PTPRM
FOS	NPPA
MYC	PEX14
MYC	SERP1
E2F1	PLAU
BMPR1B	hsa-miR-21
ATF1	CDK1
CEBPB	CRH
JUN	MMP2
E2F1	hsa-miR-17
SP1	KCNA5
RARA	IL2
E2F1	C19orf70
MYB	SIM2
CEBPA	APOA1
PPARA	PTGS2
SPI1	FLII
ABL1	STAT5A
TP53	ERBB2
FOS	IL12A
E2F1	LINC00523
STAT4	CCND2
ETS1	CSF3R
RELA	PGF
JUN	SPP1
JUN	CCL2
SP3	CYP17A1
TFAP2A	GUSB
CEBPA	F8
E2F1	IL10
CREB1	RARB
STAT5A	EGFR
E2F1	SIRPA
ERG	HMOX1
ETS1	CD8A
SNW1	RBPJL
ETS1	MYB
TGFB1	hsa-miR-429
CREB1	CYR61
MYC	PDE4C
E2F2	TMUB2
JUN	ETS1
MYOD1	hsa-miR-206
MYC	RPS6KA5
NFIC	CGA
ETS1	LTF
AR	MUC5AC
TCF7L2	BIRC5
MYC	MAFF
JUN	SELE
E2F4	FANCC
STAT5A	SOCS7
HIF1A	BAX
STAT5A	IL6ST
CEBPA	EPO
NFKB1	TNFRSF10A
TP53	LSR
RUNX1T1	CEBPA
NFKB1	BCL2L1
ELK3	FOS
E2F4	DPP4
JUN	EDN1
E2F2	MXI1
CREBBP	STAT3
E2F2	DCLK1
E2F1	GCLM
SP1	ITGAM
MCM6	CDC45
CREB1	PCDHB11
SMAD3	TGFBR1
E2F4	ACTR5
E2F3	hsa-miR-106b
IFNG	hsa-miR-143
ESR1	CDKN1A
USF1	BRCA2
NFKB1	IFNG
E2F1	NTNG2
POU3F2	IFNAR1
SP1	ALDOA
CREBBP	CREB3L2
TFAP2A	ATP2A3
E2F1	CDC25A
AR	UCP2
SMAD1	SNIP1
JUN	MMP9
NFKB1	NR4A2
E2F4	ANLN
GLI2	STK36
SNAI1	FGFR1
STAT2	PPP2R2A
USF2	IAPP
SP1	IL3RA
ESR1	CAV1
ATF1	GH2
E2F5	SMAD3
RBPJL	CTBP2
PPARD	LIPA
RARA	ETS1
ATF6	HSPA5
MYC	NAP1L1
E2F4	DUT
NFKB1	AGFG1
CREB1	CPT1A
TP53	FOXD1
ZIC2	GLI3
TP53	HSPA4
TFAP2A	NRGN
TP53	DUSP1
HMGA1	hsa-miR-29a
ATF6	PSEN2
TP53	TNFSF10
FOXA2	PDX1
TP53	CCNH
TP53	RPRM
TFAP2A	NHLH1
STAT1	EXOC3
SREBF1	FASN
TRIP6	RIPK2
E2F4	IL2RA
PER3	CRY1
REL	IL6
SMURF2	MET
IKBKG	AKT1
SMAD9	ID3
IRF9	STAT2
IRF7	IFNA16
E2F1	PLEKHF2
ETS1	JAG2
MCM4	ORC3
TFAP2A	F2R
ETS1	PARP1
SMAD3	EP300
CEBPD	IL1B
POU2F1	GRM5
JUN	IL2
EGR1	PECAM1
ETV4	SYN2
MYB	GOT1
ELK1	PRKCI
ETV4	BRCA1
TFAP2A	IGFBP3
TP53	EZH2
STAT2	PIAS4
IKBKB	AKT1
STAT3	OXTR
ZEB1	hsa-miR-200a
E2F1	FAM59A
EGR1	hsa-miR-27a
CTNNB1	CCND2
PGR	ITGA6
JUN	EHHADH
USF1	TYMS
EGR1	hsa-miR-149
HDAC1	MECOM
CEBPA	HOMER3
ATF1	BRCA1
E2F1	SERF2
E2F4	VARS2
SP3	EXO1
MYC	MCL1
MYC	hsa-miR-34a
HIF1A	CREBBP
SP1	hsa-miR-34c
ESR1	SMARCA1
E2F4	KDM6A
TP53	CREBBP
TCF7	PPARD
ABL1	NTRK2
CREB1	PTGS1
SP1	ALOX5
STAT3	EHHADH
CEBPE	MYC
PPARD	CPT1C
CREB5	GSK3B
RARB	MYC
JUN	CCL4
CREB3L1	AQP2
NOTCH4	DTX3L
NR1D1	ARNTL
STAT5A	IRF9
MYC	DPYSL3
BRCA1	KCNH4
NFKB2	TRAF6
ETV4	PCSK6
EGR1	IFNG
ETV4	MUC4
EGR1	SPINT1
MYB	IGF1
ATF4	MKNK1
PAX6	GCK
CEBPA	NFYA
ESR2	OXT
MYC	SOD1
HIF1A	TIMP1
HIF1A	TGFB1
HIF1A	ITGB2
TP53	SERPINE1
SMAD4	SMAD2
POU2F1	ALDOC
USF1	DUSP12
MYB	NME2
MYB	hsa-miR-15a
MYC	hsa-miR-9
TP53	AKT1
SP1	IGFBP3
NOTCH2	RFNG
ETS1	CDH13
GLI3	WNT9B
TGFB1	hsa-miR-24
CREB5	PRKACB
BMP4	hsa-miR-145
CEBPA	GSK3B
EGR1	ANKRD1
ETV4	TBXAS1
PPARG	MYC
SMAD4	E2F4
TFAP2A	RECQL4
NFKB1	hsa-miR-224
E2F1	MPG
CTNNB1	TJP1
NFKB1	ABCB1
NOTCH2	DTX2
DDIT3	MAPK13
JUN	RUNX2
NFKBIB	TAB1
USF2	CEACAM6
NOTCH3	DLL3
ETS1	B3GAT3
ETS1	PF4
ETS2	GBA
E2F1	SLC43A2
E2F4	ITGB3BP
EPAS1	FIGF
NFKB1	hsa-miR-29a
MYC	RRAS
EGR1	VAMP2
E2F4	MCM3
ETS2	MYC
E2F1	MXI1
PAX6	PDX1
STAT5B	PPARG
USF1	MC1R
REL	CCL2
JUN	PPP4C
MYCN	hsa-miR-17
EGR1	FGF2
USF1	IFNG
RXRG	CPT1C
CREBBP	TP53
E2F1	KRT6A
RXRA	FADS2
ESR1	SOCS2
TFAP2A	TFAP2A
STAT3	PRKAG2
RELA	CCND1
NFKB1	GADD45A
RUVBL1	CTNNB1
PPARG	NOL3
WWP1	KDR
SOX17	TCF7
NFKB1	NPY1R
PIAS2	STAT5B
E2F1	HK1
JUN	MDM2
ERG	NOS3
EP300	STAT2
AR	ADAMTS3
MYC	BCR
RARG	BCL2
RELA	PITX3
SP1	MMP9
FLI1	ITGA2B
E2F1	RANGRF
SMAD3	SMAD7
FOS	SMAD4
E2F1	KCNJ2
ELK1	ACTA2
MYC	MADD
MYC	SPAG6
ETS2	MAPK3
MYC	KIF11
USF1	INS
EIF2AK2	NFKBIA
HIF1A	EGLN2
RXRB	GK
AR	IGFBP5
ORC2	MCM3
RXRG	UCP1
NFKB1	TOP1
STAT5A	IL2RA
E2F2	GCHFR
E2F4	KLHL21
ATF1	PPP2R4
E2F4	GNAS
MYC	PGF
USF1	SLC1A3
STAT2	SOCS5
RXRG	ME1
EGR1	RET
ATF1	CHGA
NFATC4	MAPK12
HOXA4	TH
JUN	MMP1
TFAP2A	ACHE
MYC	RPL15
E2F1	OPN3
SMAD4	PITX2
ATF2	ATF2
TFAP2A	ADD1
TP53	MAPK11
GLI3	WNT10B
MAX	hsa-miR-193a
JUN	NFKB2
IKBKG	AKT2
PTTG1	ANAPC1
MYC	MAP3K5
RELA	S100A6
TP53	IL8
TFAP2A	IL3
SOS2	CCND3
ETS1	MMP1
SP1	CD99
RBPJL	CTBP1
STAT6	PIAS3
ABL1	RB1
STAT5B	ANGPTL4
MYC	FADS3
TFAP2A	TIMP1
MYB	PCNA
CREB1	MOG
PPARA	UCP1
TFAP2A	TALDO1
E2F2	IQCK
PAX8	THPO
GLI3	WNT4
RXRG	ANGPTL4
E2F1	SSX2
AR	ABCB1
ATF1	TEAD1
USF1	TYR
CEBPA	HBE1
RARB	CDH13
RELA	MAP3K1
ERG	TGFBR2
MYB	CDK1
DDIT3	XBP1
SPI1	CHI3L1
PIAS4	STAT5A
STAT5B	PIAS2
JUNB	IVL
ELK1	ERBB2
SMAD1	LBP
SOX2	hsa-miR-302a
RARA	AKR1B1
PGR	KLK3
SMURF2	SMAD7
JUN	MMP3
NFKBIA	EIF2AK3
STAT5A	OSM
GLI1	WNT5A
NFIC	CYP1A1
SMAD3	AR
NFKB1	KCNMA1
AR	POU1F1
DDX5	hsa-miR-21
SP1	CDK1
CREB3	PRKX
LEF1	RAG2
AR	KLK15
SMAD3	hsa-miR-143
NOTCH2	MFNG
NFKB1	FBP1
PPARA	CCND2
RARG	INS
MYC	RPL27
ETV4	MMP7
FOXO1	AKT1
PPARA	ACSL5
USF2	IGF2R
ELK1	KCNMA1
PPARA	APOA2
NFIC	SMUG1
PDGFA	hsa-miR-221
TP63	HNRNPAB
APC	AXIN1
E2F1	MCM5
USF2	CAD
NFATC1	PTGS2
SNAI2	hsa-miR-200c
MYC	APBA3
AR	PPP2R2C
E2F4	NCR2
RBL2	CDK4
MYC	POLE3
E2F4	TERT
E2F2	IL17RD
MYC	AIMP2
E2F1	ZMYM5
JUN	CIITA
TNFAIP3	RIPK2
TP53	TYRP1
POU2F2	TRA@
ETS2	FLT1
TP73	HIPK2
WT1	NPHS1
E2F1	DUSP11
CREBBP	LEF1
STAT5B	EP300
TFAP2C	ESR1
GLI1	CSNK1A1L
STAT3	PRKAG1
E2F1	CBX5
SP4	CDKN1A
E2F1	BEAN1
TFAP2A	NT5E
CEBPA	COMT
STAT3	PRF1
SP1	CYP21A2
RUNX1	HDAC1
NFKB1	IRF4
SPI1	hsa-miR-155
MYC	SLC25A28
TP53	PTGS2
E2F4	PTGS2
AR	PTHLH
MYC	COASY
POU2F2	HLA-DOB
E2F4	POLR2D
ABL1	EPHB1
E2F1	SMC4
USF1	C4A
E2F4	TK1
ARNT	EPAS1
RXRB	CYP4A11
SOS1	BCL2L1
IRF3	CXCL11
MYB	TSEN15
E2F1	SULT1A2
RARB	KRT19
ESR1	NT5E
NOTCH4	JAG1
FLI1	ID2
RBL2	SMAD2
ELK1	CA9
PPARG	SERPINE1
E2F1	RASSF8
EGR1	APOA1
NFIC	SLC34A2
ATF1	IFNAR1
PDGFB	hsa-miR-29a
NFAT5	TNF
FOS	HSPA1A
EP300	MITF
CREBBP	SMAD4
MCM6	CDC7
GLI2	WNT7B
EPAS1	CREBBP
SP3	MSH6
IRF3	CXCL10
TFAP2A	CNTN1
RARA	ESR1
LEF1	HOXC13
CREB1	SLC5A5
E2F1	PHLDB1
RXRB	APOC3
ETS1	ANGPT2
E2F1	HIVEP1
E2F2	NDUFAB1
RELA	PPP2R1A
RXRG	DBI
ERG	CD19
RAD51	BRCA2
RORA	ARNTL
CDKN1A	hsa-miR-449a
HIF1A	NR4A1
HIF1A	EGLN3
E2F2	NDUFA7
E2F2	BTBD7
SMG1	hsa-miR-155
TP53	TSC2
ETS1	MPL
POU2F1	IL5
TFAP2A	GAST
EP300	PRKACA
ABL1	EPHB2
MYB	TNFRSF10B
FLI1	SH2D1B
NFKBIB	AKT2
E2F3	CCNA2
SPI1	hsa-miR-19a
CEBPA	IRS1
TNF	hsa-miR-31
RELA	CCL4
RASGRF1	hsa-miR-21
SP1	HSD17B4
USF2	HMOX1
PPARD	LPL
GLI1	PTCH2
NOTCH2	LFNG
USF1	CCND2
STAT5A	BCL2
E2F2	TMED4
FOS	NQO1
JUN	DHX34
TFAP2A	KRT14
PAX2	WT1
SP1	CYP27A1
JUND	MAPK9
PPARA	TGFB1
CLOCK	BHLHE40
WT1	PAX2
ATF1	TRB@
AR	IRAK2
MECOM	HDAC1
CEBPB	IL10
NFATC3	CSF2
DDIT3	ATF4
STAT5B	PAX5
SP1	CDC25C
MYB	DEK
E2F2	SCML1
CREBBP	CTNNB1
WWP1	PDGFRA
AR	NRIP1
TFAP2A	NRG2
TFAP2A	NNAT
E2F2	C15orf23
NR3C2	ATP1A2
NFKB1	RRM2B
ATF1	SPRR3
TFAP2A	ODC1
USF2	CEBPA
ETS1	IL2RB
TP53	TNF
MYOD1	hsa-miR-1
ETS2	CSF3R
ABL1	EPHA6
E2F1	CCP110
GLI2	BMP8B
RARG	ICAM1
MYB	EGR1
MYC	RCC1
TCF7L1	CTBP1
MYB	MNDA
E2F4	REL
E2F2	UTRN
MYB	MRPL3
SP3	ABCA1
MYC	FECH
USF1	MYOC
ATF4	CGA
E2F1	PFAS
RXRA	ACOX3
AR	BTF3P11
E2F1	CLDN23
CEBPD	SFTPD
ABL1	GRB2
STAT1	ICAM1
SMAD4	TCF7L2
JUN	FIGF
MYC	MAPRE2
NFIC	PFKFB1
RARA	ABCB1
EGR2	DDX20
FOS	CCL5
ESR1	GADD45G
CEBPA	GADD45A
RARA	VEGFA
RELB	RELB
STAT2	SOCS1
SPI1	PTCRA
E2F4	C16orf80
NFIC	VWF
WWP1	ERBB4
E2F1	ZNF540
E2F1	CASP10
BCL3	NFKB2
SP1	NOL3
SP1	MYC
RB1	CCNE2
ETS2	JUN
FLI1	CCND1
TP53	RFWD2
CREB1	ERF
PDX1	INS
MYC	PTMA
E2F1	CBLN1
TP53	IL15
E2F1	THOC5
WWP1	NTRK1
PPARD	NOL3
E2F1	PIGB
E2F2	PROKR1
SP1	GPC3
MYC	HNRNPA1
RELB	CHUK
SMAD4	EPO
CEBPA	NR5A1
NPAS2	PER1
NFIC	SNAPC1
ETV4	HTR2A
FOS	CDKN1A
ATF1	NOS1
ELK1	CCND1
HIF1A	LOC339524
RXRG	PPARG
NFIC	RBP1
NCOR2	RBPJL
CEBPB	CCL5
POU2F1	MS4A2
TLR2	hsa-miR-146a
FLI1	CDKN1A
MYC	TOPBP1
RARA	HNF1B
CEBPA	C8orf76
NFATC1	PPP3CA
POU2F1	SP1
E2F1	SYCP3
EPAS1	EGLN3
ETV4	NRG1
E2F1	APP
E2F1	HLTF
NOTCH3	DTX4
ESR1	NCOR1
E2F2	HIST2H4A
CTBP1	TCF7
CREB1	GRM5
FOXO1	FBP1
NFKB1	VEGFC
E2F4	NEK2
E2F4	APLN
SP1	COL2A1
E2F1	EIF3J
STAT3	CPT1A
HDAC2	RB1
MYC	MDM2
HIF1A	TGFB3
MYC	IL8
TFAP2A	PENK
RBPJ	NOTCH3
ESR2	POU1F1
AR	S100A8
MYC	EIF3C
TP53	BAI2
SP3	POU5F1
E2F1	RTN4
SP1	KRT19
NFKB1	MMP9
RARG	POU1F1
EP300	SMAD3
ETS1	ECE1
E2F1	MMP15
NFYB	CIITA
E2F1	ACSL1
E2F1	GPX4
AR	ACPP
MCM6	ORC5
E2F1	TMEM186
NOTCH3	PSEN1
E2F1	CCL17
NFIC	TP53
SP1	KRT17
ETS1	FCAR
E2F4	SMC4
ETS1	ATP2A3
TFAP2A	LTC4S
GEMIN2	hsa-miR-141
PPARA	LEPR
PGR	IGFBP1
MYB	PSG1
CEBPA	GPX4
E2F1	PIGU
ETV4	WT1
SMAD2	SKP1P2
NFKBIB	NFKB1
PGR	EGF
MCM2	ORC3
SMAD3	EPX
JUN	MAPK8
SMAD4	GADD45B
SP1	KRT18
NFIC	RPE65
RARA	KRT19
CREB1	CDK11A
ATF1	LDHA
STAT1	PLAU
ATF2	IMPDH2
HIF1A	TGFB2
LEF1	SMAD4
HIF1A	KDR
USF1	APOC3
ATF2	JUN
NFKB1	IL2RA
RXRG	ACADM
RXRG	SLC27A4
JUN	HRH1
E2F1	TRRAP
MYC	SMAD3
MYB	FAS
MYC	hsa-miR-7
DDIT3	ATF6
TP53	AMH
STAT1	FOS
TP53	NOL3
ATF1	JUN
CEBPA	MMP12
E2F1	DBF4
CEBPB	ELN
MYC	hsa-miR-141
CEBPA	IGF1
GLI3	CSNK1A1L
MYC	PMS1
RXRB	DBI
E2F1	CETP
SP1	PDGFB
SP1	IL10
ZFP42	hsa-miR-367
CEBPE	SPI1
SP1	NPY
SP1	MUC2
JUN	SPRR1A
USF2	CCND2
MYC	KDM5A
RXRA	CPT1A
E2F1	CTDSPL2
CEBPA	CCNB1
STAT1	PPP2R2D
HIF1A	MTOR
POU2F2	REL
SMAD4	BTRC
IKBKB	NFKBIA
ERG	VWF
NFATC2	MAPK14
ESR1	MEP1B
TP53	PRKDC
E2F1	TRIP12
HDAC4	hsa-miR-200a
E2F2	DTX1
NEUROG3	PAX4
IL6	hsa-miR-148a
LEF1	UGT8
E2F4	PRNP
GLI1	PTCH1
CTNNB1	CTNNA2
MYC	hsa-miR-20a
ETS1	NOS3
CEBPB	FOS
TFAP2A	HOOK2
ATF1	STAT3
MYF6	hsa-miR-133a
JUP	MYC
MYC	FAH
USF2	CEACAM5
STAT6	PIAS1
E2F1	RUVBL2
TP53	MGMT
RELA	TLR4
JUN	SPI1
MYC	RGS2
CREBBP	PRKACA
E2F1	IQCK
NFKB1	EPO
STAT4	EP300
USF1	HOXB7
MECP2	hsa-miR-137
E2F2	PIK3R5
NOTCH2	DTX4
SPI1	GATA1
RXRG	CPT1A
GLI1	GLI2
NFATC1	CSF2
EGR1	hsa-miR-30e
FOXP3	hsa-miR-155
MYB	C1QBP
TFAP2A	SYT1
RARA	HOXA7
PER1	ARNTL
FLI1	CCND3
NFATC2	MAPK13
HDAC1	RBPJL
CREB1	PCK2
AR	ADIPOQ
ARHGAP35	CSK
AR	TNFRSF11B
NFKB1	TNFSF10
GLI2	WNT4
MYB	HNRNPR
ESR1	hsa-miR-19b
AR	NEDD9
MYC	TUSC2
MYC	CKS2
TP53	BTG1
E2F2	PITX2
E2F2	DEC1
CEBPB	SFTPD
CEBPA	E2F3
NFKB1	A2M
TP53	SIAH1
E2F1	BRD2
RB1	CDK1
PPARD	CPT1B
TFAP2A	UBTF
TP53	NLRC4
LEF1	WNT1
WT1	NR5A1
MYC	ACHE
STAT5A	IL6
PIAS1	STAT5B
STAT1	APOE
NOTCH2	DLL3
E2F4	BCL11A
NFKBIA	AKT1
E2F1	SGK223
MYC	PTPRF
HIF1A	LEP
ETS1	TNFRSF10B
ESR1	hsa-miR-20b
TFAP2A	SRM
PPARA	NOX1
SP1	CTSL1
EP300	LEF1
CREBBP	HIF1A
PPARD	CCND1
NFKB1	IL2
WT1	TP53
ETS1	MMP3
LEF1	JUN
RBL1	MYC
E2F1	UNG
SP1	ITGAX
RUNX1	CTBP1
PPARA	LPL
PPARG	FCER1A
CREB1	CIITA
MYB	CEBPA
FLI1	TAL1
REL	CSF2
RBPJL	MAML3
CEBPB	CDH13
ARNT	HIF1A
ETS1	ERBB2
RARB	SMARCA1
MCM4	ORC2
CTNNB1	PRKACA
USF1	CYP1A2
SP4	GPD2
MYC	ESD
PPARG	ACOX1
JUN	PRKCB
CEBPB	INSR
TP63	hsa-miR-519a
TP63	hsa-miR-181a
SP1	CAT
E2F4	DRG1
CREB1	HLA-DOB
EGR1	PTP4A1
E2F1	NPPA
E2F1	TOR1B
TFAP2A	DECR1
NFIC	PTGS2
HOXA1	IRF3
AR	SEMA6B
HIF1A	TFF3
EPAS1	VEGFB
TP53	ATR
PER2	CRY1
SPI1	BTK
GLI2	BMP8A
CREB1	ME2
TP53	ESR1
E2F2	STXBP5L
E2F1	C1orf180
TP53	TFRC
E2F1	ZCCHC8
ARNTL	RORB
PPARG	PLIN1
PIAS1	STAT6
RXRB	AQP7
E2F1	KLF10
E2F1	SPG21
NFKBIB	IKBKG
TP53	THBS1
CEBPD	POU5F1
E2F1	WAPAL
TFAP2A	IFNG
NOTCH3	DTX3L
MYC	TPR
NKX2-5	hsa-miR-17
NFKB1	BRCA2
EGR3	SPINT1
TP53	TP53BP1
MYC	TULP3
AR	AREG
MYC	OCA2
HIF1A	FLT1
ETS1	COX4I1
STAT4	SOCS7
E2F1	HPS4
ATF2	FOS
SPI1	MME
E2F4	CALB2
TCF7	CTNNB1
IRF5	TRAF6
IRF5	TNF
ESR1	PELP1
RARA	JUN
NFKB1	CD40
SMAD4	VIP
E2F1	GRIA4
RELA	APOC3
MYC	PSMC4
MYC	BCL2L12
E2F1	PEG3
NFIC	RGN
ZBTB16	hsa-miR-146a
CREB3	PRKACG
REL	PRSS8
E2F3	SERPINE1
ATF1	IL6
MYB	TFAM
ARNTL	PER1
E2F1	XAGE1C
ETS1	TRB@
ETS1	GABPA
E2F1	TRERF1
TP53	CCND1
MYC	DRG1
CEBPA	ELANE
TP53	STAT1
SMAD9	MAPK1
JUN	HOXA5
E2F1	hsa-miR-449b
CREB1	RUNX1
ETS1	BRCA2
JUN	KRAS
POU2F1	IL13RA2
TP53	DGKD
TP53	MMP2
MYC	TRIP13
MYC	QDPR
TP53	PTTG1
HIF1A	EGLN1
MYC	HMGN2
NFKB1	CDH13
MYC	TFRC
ESR1	ITGB1
SP3	CD83
E2F1	LOC339685
TFAP2A	VEGFC
NFKB1	IER3
SOS1	CCND2
E2F1	WNT1
SP1	KIF2A
CEBPA	CFTR
MYC	SCML2
JUN	GNRHR
SMAD3	PTHLH
MYC	IVNS1ABP
E2F2	TAF1C
CREB1	VGF
E2F4	CENPE
PPARD	UCP3
EPAS1	PGF
MYC	hsa-miR-22
ETS2	EGR1
MYC	ACADM
GLI1	STK36
SRSF1	hsa-miR-7
E2F1	SAA2
ELK4	MAPK13
SMAD3	TIMP1
ETS1	KIT
RXRB	NR1H3
E2F1	RRM1
E2F1	SCN8A
GLI3	BTRC
E2F1	FEN1
STAT5A	TYK2
E2F1	IAPP
CREBBP	CREB3
SPI1	hsa-miR-23a
E2F1	XPNPEP1
MCM5	ORC3
PIAS1	STAT4
AR	CPT1A
PTEN	hsa-miR-19a
MYC	FGF9
MYC	CDC25C
MYC	PQBP1
ARHGAP35	THY1
RELA	CTNNB1
SP1	HSPB1
MYC	DLEU2
ESR2	TERT
AR	TRPS1
TP53	MAPK1
E2F2	TUBA4A
STAT2	CISH
TP53	PTK2B
NFIC	HMOX1
MYC	PSMD3
GLI2	WNT16
JUN	TFF3
AR	SLC5A5
